epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9644,1.07159,2.92985,1.25713,0.00248,0.74359,0.00352,0.00141,1.92739,4.87292,1.00566,0.00038,0.00038,0.00038
2,33.3439,1.05036,1.90499,1.1938,0.00265,0.79487,0.00443,0.00135,2.07853,4.88442,1.0683,0.000772278,0.000772278,0.000772278
3,50.131,1.05826,1.55955,1.23323,0.00205,0.61538,0.00318,0.00109,2.08794,4.92374,1.07889,0.00115664,0.00115664,0.00115664
4,67.5552,1.03662,1.55518,1.18961,0.04821,0.02564,0.00472,0.0018,2.24005,5.30153,1.13578,0.00153307,0.00153307,0.00153307
5,85.245,1.06908,1.46799,1.24977,0.07578,0.05128,0.01209,0.005,2.0072,5.66587,1.12272,0.00190159,0.00190159,0.00190159
6,102.685,1.0776,1.4337,1.23268,0.07032,0.12821,0.02004,0.01028,1.88702,4.99528,1.05932,0.001901,0.001901,0.001901
7,120.306,1.05749,1.26324,1.22898,0.04356,0.12821,0.03826,0.02163,1.94081,4.99904,1.09412,0.0018812,0.0018812,0.0018812
8,137.884,1.10585,1.28317,1.25125,0.09581,0.10256,0.0518,0.02532,2.12835,6.32256,1.12014,0.0018614,0.0018614,0.0018614
9,155.347,1.0097,1.17583,1.20298,0.62503,0.23077,0.26518,0.12082,1.99661,3.58875,1.09588,0.0018416,0.0018416,0.0018416
10,172.943,1.11043,1.21266,1.23443,0.54338,0.30524,0.23607,0.12567,2.01814,3.50798,1.10678,0.0018218,0.0018218,0.0018218
11,190.322,0.95293,1.05353,1.10048,0.86648,0.05128,0.07609,0.0323,2.12777,5.08828,1.10531,0.001802,0.001802,0.001802
12,207.807,0.98032,1.0569,1.14854,0.10928,0.17949,0.11728,0.05126,2.10752,3.78944,1.12167,0.0017822,0.0017822,0.0017822
13,225.107,0.99227,1.05204,1.14971,0.2051,0.27137,0.20353,0.10542,2.07862,3.38351,1.13783,0.0017624,0.0017624,0.0017624
14,242.75,0.99578,0.97249,1.15454,0.15919,0.30769,0.12471,0.05611,2.06621,3.90169,1.12524,0.0017426,0.0017426,0.0017426
15,260.567,0.99418,0.94243,1.13276,0.28142,0.23077,0.17424,0.07901,2.05212,3.16685,1.12296,0.0017228,0.0017228,0.0017228
16,277.922,1.07687,0.94035,1.18069,0.84893,0.28852,0.43581,0.1923,2.14206,2.79613,1.15101,0.001703,0.001703,0.001703
17,295.216,1.07637,0.95874,1.18433,0.41518,0.23685,0.32592,0.13199,2.15403,2.75795,1.15548,0.0016832,0.0016832,0.0016832
18,312.588,1.05924,0.95908,1.17429,0.23566,0.15385,0.15792,0.05668,2.33027,3.25065,1.20137,0.0016634,0.0016634,0.0016634
19,330.197,0.98614,0.87456,1.13082,0.72116,0.38462,0.44685,0.152,2.1943,2.68781,1.14544,0.0016436,0.0016436,0.0016436
20,347.779,0.92099,0.83178,1.09344,0.32428,0.39388,0.24526,0.08496,2.20628,3.01012,1.13521,0.0016238,0.0016238,0.0016238
21,365.421,0.97331,0.84412,1.17546,0.17746,0.35897,0.19243,0.07369,2.1745,3.89984,1.13195,0.001604,0.001604,0.001604
22,383.34,1.02066,0.86134,1.177,0.2803,0.5641,0.37877,0.15082,2.08861,3.03873,1.14546,0.0015842,0.0015842,0.0015842
23,400.846,0.93088,0.77477,1.10329,0.10222,0.64103,0.08102,0.02995,2.19648,5.94653,1.16055,0.0015644,0.0015644,0.0015644
24,418.21,0.96047,0.81427,1.13655,0.1067,0.48718,0.1197,0.04933,2.24782,3.96564,1.18118,0.0015446,0.0015446,0.0015446
25,435.658,0.96544,0.79748,1.17391,0.32599,0.35897,0.33083,0.14942,2.17823,2.87147,1.15977,0.0015248,0.0015248,0.0015248
26,452.902,0.90975,0.75957,1.10313,0.32098,0.50912,0.3339,0.15066,2.2208,2.91707,1.16378,0.001505,0.001505,0.001505
27,470.276,0.96597,0.75589,1.14525,0.24101,0.5641,0.22079,0.08793,2.12313,3.83549,1.12072,0.0014852,0.0014852,0.0014852
28,487.754,0.93912,0.71945,1.14461,0.40809,0.41026,0.33581,0.14396,2.08654,2.83904,1.10914,0.0014654,0.0014654,0.0014654
29,504.87,0.91112,0.72185,1.09395,0.81848,0.4359,0.46992,0.18393,2.1727,2.4621,1.14934,0.0014456,0.0014456,0.0014456
